concept_id,concept_name,concept_code,vocabulary_id
40437458,Acquired short bowel syndrome,235724004,SNOMED
4340795,Postprocedural intestinal steatorrhea,235732007,SNOMED
4340794,Postprocedural steatorrhea,235731000,SNOMED
4058831,Post-gastrointestinal tract surgery malnutrition,197484002,SNOMED
194079,Post-surgical malabsorption,266480006,SNOMED
4096029,Transection of pancreas,262828008,SNOMED
4095437,Malignant tumor of Islets of Langerhans,187794005,SNOMED
4095436,Malignant tumor of tail of pancreas,187792009,SNOMED
4094982,Laceration of pancreas parenchyma,262829000,SNOMED
4094981,Contusion of pancreas,262827003,SNOMED
4094980,Peripancreatic hematoma,262826007,SNOMED
4094866,Malignant tumor of pancreatic duct,187793004,SNOMED
4094104,Neoplasm of uncertain behavior of sphincter of Oddi,189397006,SNOMED
4093759,Fibrosis of pancreas,25942009,SNOMED
4093488,Pancreatic echinococcosis,187145004,SNOMED
4093273,Pancreatic fistula,25803005,SNOMED
4092074,Malignant neoplasm of ectopic pancreatic tissue,187798008,SNOMED
4092072,Malignant tumor of body of pancreas,187791002,SNOMED
4092069,Malignant neoplasm of sphincter of Oddi,187786003,SNOMED
4088042,Suppurative pancreatitis,24407009,SNOMED
4084643,"Extreme insulin resistance with acanthosis nigricans, hirsutism AND abnormal insulin receptors",24203005,SNOMED
4084586,Tear of pancreas,282439006,SNOMED
4082334,Post-ERCP acute pancreatitis,277537008,SNOMED
4081053,Papillary tumor of ampulla of Vater,276852004,SNOMED
4081052,Intraduct papilloma of pancreas,276851006,SNOMED
4080069,Necrosis of pancreas,1835003,SNOMED
4070563,Insulin biosynthesis defect,1771008,SNOMED
4066295,Disorder of endocrine pancreas,17346000,SNOMED
4055345,Relapsing pancreatic necrosis,19742005,SNOMED
4052840,Phlegmon of pancreas,23587002,SNOMED
4049458,Acute necrosis of pancreas,15528006,SNOMED
4049063,"Extreme insulin resistance with acanthosis nigricans, hirsutism AND autoantibodies to the insulin receptors",20678000,SNOMED
4048072,Pseudolipomatosis hypertrophy of pancreas,123669009,SNOMED
4047521,Hypoinsulinism,123762005,SNOMED
4045739,Fat necrosis of pancreas,2307008,SNOMED
4035657,Calculus of pancreas,15402006,SNOMED
4034963,"Megaloblastic anemia, thiamine-responsive, with diabetes mellitus and sensorineural deafness",237617006,SNOMED
4034831,Excessive bombesin secretion,237593001,SNOMED
4034830,Excessive secretin secretion,237582003,SNOMED
4034829,Excessive pancreatic polypeptide secretion,237580006,SNOMED
4034828,Excessive somatostatin secretion,237578000,SNOMED
4033222,Idiopathic postprandial hypoglycemia,14725002,SNOMED
4031437,Congenital pancreatic enterokinase deficiency,10866001,SNOMED
4030066,"Photomyoclonus, diabetes mellitus, deafness, nephropathy and cerebral dysfunction",237612000,SNOMED
4030064,"Acrorenal field defect, ectodermal dysplasia, and lipoatrophic diabetes",237610008,SNOMED
4030060,Abnormality of bombesin secretion,237592006,SNOMED
4030059,Excessive motilin secretion,237591004,SNOMED
4029428,Alimentary hyperinsulinemia,237647008,SNOMED
4029427,Drug-induced hyperinsulinemia,237646004,SNOMED
4029425,Alimentary hypoglycemia,237639008,SNOMED
4027550,Impaired glucose tolerance with hyperinsulism,128264007,SNOMED
4026158,Acute suppurative pancreatitis,197460005,SNOMED
4026157,Acute recurrent pancreatitis,197458008,SNOMED
4023588,Ectopic pancreas,19387007,SNOMED
4019730,Injury to pancreas - open,210160008,SNOMED
4019728,Closed injury of pancreas,210150004,SNOMED
4019570,Hyperplasia of islet alpha cells with gastrin excess,1051005,SNOMED
4008556,Pseudocyst of pancreas,111374002,SNOMED
4005786,Anomalies of pancreas,204805004,SNOMED
4003230,Functional hyperinsulinism,12002009,SNOMED
4002480,Congenital pancreatic cyst,204808002,SNOMED
3655588,Mixed ductal-neuroendocrine carcinoma of pancreas,866052009,SNOMED
3655584,Mucinous cystic neoplasm with invasive carcinoma of pancreas,866048009,SNOMED
